subject,scenario,estimated_respiration_rate,estimated_freq,gt_respiration_rate,gt_freq
Proband01,101_natural_lighting,21.0,0.35,22.473282442748094,0.3745547073791349
Proband01,103_abrupt_changing_lighting,6.0,0.1,22.470423610227705,0.37450706017046176
Proband01,104_dim_lighting_auto_exposure,7.0,0.11666666666666667,21.487981686379246,0.35813302810632075
Proband01,201_shouldercheck,20.0,0.3333333333333333,21.021005728835135,0.3503500954805856
Proband01,202_scale_movement,10.0,0.16666666666666666,20.994278448823906,0.34990464081373174
Proband01,203_translation_movement,10.0,0.16666666666666666,22.473282442748094,0.3745547073791349
Proband02,101_natural_lighting,14.5,0.24166666666666667,14.632287565095897,0.24387145941826496
Proband02,103_abrupt_changing_lighting,15.499999999999998,0.2583333333333333,16.58325924044202,0.276387654007367
Proband02,104_dim_lighting_auto_exposure,17.0,0.2833333333333333,17.06449974606399,0.2844083291010665
Proband02,201_shouldercheck,10.0,0.16666666666666666,9.754858376730597,0.16258097294550997
Proband02,202_scale_movement,20.0,0.3333333333333333,4.877429188365299,0.08129048647275498
Proband02,203_translation_movement,10.0,0.16666666666666666,9.754858376730597,0.16258097294550997
Proband03,101_natural_lighting,13.0,0.21666666666666667,13.169058808586307,0.21948431347643846
Proband03,103_abrupt_changing_lighting,11.5,0.19166666666666665,11.70137125444388,0.19502285424073132
Proband03,104_dim_lighting_auto_exposure,27.5,0.4583333333333333,14.626714068054849,0.24377856780091414
Proband03,201_shouldercheck,14.5,0.24166666666666667,13.170731707317074,0.21951219512195125
Proband03,202_scale_movement,10.0,0.16666666666666666,13.658536585365855,0.22764227642276424
Proband03,203_translation_movement,10.0,0.16666666666666666,11.218087133240187,0.18696811888733647
Proband04,101_natural_lighting,6.5,0.10833333333333334,18.949765911679112,0.3158294318613185
Proband04,103_abrupt_changing_lighting,17.5,0.2916666666666667,25.356190476190477,0.4226031746031746
Proband04,104_dim_lighting_auto_exposure,7.0,0.11666666666666667,19.98984255967496,0.3331640426612493
Proband05,101_natural_lighting,16.0,0.26666666666666666,16.097560975609756,0.2682926829268293
Proband05,103_abrupt_changing_lighting,16.0,0.26666666666666666,17.02343255224826,0.28372387587080433
Proband05,104_dim_lighting_auto_exposure,16.5,0.275,16.57694261046216,0.276282376841036
Proband05,201_shouldercheck,10.0,0.16666666666666666,14.634146341463415,0.24390243902439027
Proband05,202_scale_movement,11.0,0.18333333333333332,16.050664977834074,0.26751108296390125
Proband05,203_translation_movement,10.0,0.16666666666666666,16.511951435436952,0.27519919059061587
Proband06,101_natural_lighting,6.5,0.10833333333333334,6.34065794487489,0.10567763241458149
Proband06,103_abrupt_changing_lighting,6.0,0.1,7.317073170731708,0.12195121951219513
Proband06,104_dim_lighting_auto_exposure,6.0,0.1,8.28847130523108,0.138141188420518
Proband06,201_shouldercheck,16.5,0.275,10.242601295567129,0.17071002159278548
Proband06,202_scale_movement,10.5,0.175,9.26711545789407,0.15445192429823448
Proband06,203_translation_movement,20.0,0.3333333333333333,13.169058808586307,0.21948431347643846
Proband07,101_natural_lighting,12.0,0.2,12.195121951219514,0.20325203252032523
Proband07,103_abrupt_changing_lighting,11.0,0.18333333333333332,9.26711545789407,0.15445192429823448
Proband07,104_dim_lighting_auto_exposure,6.0,0.1,9.754858376730597,0.16258097294550997
Proband07,201_shouldercheck,6.0,0.1,12.68131588974978,0.21135526482916298
Proband07,202_scale_movement,10.0,0.16666666666666666,10.242601295567129,0.17071002159278548
Proband07,203_translation_movement,7.0,0.11666666666666667,4.876809753619506,0.08128016256032511
Proband08,101_natural_lighting,23.0,0.3833333333333333,21.46886912325286,0.3578144853875476
Proband08,103_abrupt_changing_lighting,15.0,0.25,22.427628237684104,0.3737938039614017
Proband08,104_dim_lighting_auto_exposure,6.0,0.1,22.91518537328593,0.38191975622143215
Proband08,201_shouldercheck,6.0,0.1,22.436174266480375,0.37393623777467294
Proband08,202_scale_movement,10.0,0.16666666666666666,10.242601295567129,0.17071002159278548
Proband08,203_translation_movement,20.0,0.3333333333333333,19.98984255967496,0.3331640426612493
Proband09,101_natural_lighting,6.0,0.1,18.046487996951605,0.3007747999491934
Proband09,103_abrupt_changing_lighting,6.0,0.1,19.512195121951223,0.3252032520325204
Proband09,104_dim_lighting_auto_exposure,6.0,0.1,19.98984255967496,0.3331640426612493
Proband09,201_shouldercheck,7.0,0.11666666666666667,19.021973834624667,0.31703289724374445
Proband09,202_scale_movement,11.5,0.19166666666666665,10.24390243902439,0.17073170731707318
Proband09,203_translation_movement,10.0,0.16666666666666666,19.029224904701397,0.31715374841169
Proband10,101_natural_lighting,14.0,0.23333333333333334,13.662007623888181,0.22770012706480303
Proband10,103_abrupt_changing_lighting,6.0,0.1,12.676485525647536,0.21127475876079227
Proband10,104_dim_lighting_auto_exposure,7.0,0.11666666666666667,13.164042661249363,0.21940071102082273
Proband10,201_shouldercheck,13.5,0.225,13.658536585365855,0.22764227642276424
Proband10,202_scale_movement,10.5,0.175,13.164042661249363,0.21940071102082273
Proband10,203_translation_movement,10.0,0.16666666666666666,13.658536585365855,0.22764227642276424
Proband11,101_natural_lighting,19.0,0.31666666666666665,19.019558039116077,0.31699263398526795
Proband11,103_abrupt_changing_lighting,14.0,0.23333333333333334,23.890299644489588,0.3981716607414931
Proband11,104_dim_lighting_auto_exposure,8.5,0.14166666666666666,19.021973834624667,0.31703289724374445
Proband11,201_shouldercheck,10.0,0.16666666666666666,20.000000000000004,0.33333333333333337
Proband11,202_scale_movement,10.0,0.16666666666666666,20.000000000000004,0.33333333333333337
